mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"christian matériel","https://www.batamat.com/","76","1","390","390","","1.36","0.05","","20","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"batamat","https://www.batamat.com/","34","1","170","170","","","0","","18","2026-05-31","true","false","false","false","false","false","",""
"passer le caces","https://www.batamat.com/Batamat/detail_actu/19","33","3","480","480","84","1.49","0.34","0.175","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"christian matériels merville","https://www.batamat.com/","28","1","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"christian materiels merville","https://www.batamat.com/","28","1","140","140","","1.7","0.06","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"comment passer le caces","https://www.batamat.com/Batamat/detail_actu/19","21","3","300","390","","1.28","0.61","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle ciseaux","https://www.batamat.com/Batamat/detail_produit/61","13","8","590","590","1320","0.91","0.26","2.2373","19","2026-06-08","true","false","false","false","false","false","",""
"location plaques de roulage","https://www.batamat.com/Batamat/detail_produit/179","9","6","260","260","1","2.65","0.35","0.0038","7","2026-06-02","false","false","false","false","true","false","",""
"caces obligatoire","https://www.batamat.com/Batamat/detail_actu/19","7","8","320","320","158","0.59","0.03","0.4938","19","2026-06-09","true","false","false","false","false","false","",""
"location nacelle ciseau","https://www.batamat.com/Batamat/detail_produit/61","7","8","320","320","","2.42","0.21","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"permis kses","https://www.batamat.com/Batamat/detail_actu/19","7","5","170","170","","1.71","0.18","","19","2026-06-12","true","false","false","false","false","false","",""
"location surfaceuse beton","https://www.batamat.com/Batamat/detail_produit/196","7","9","355","390","3","0.65","0.96","0.0085","19","2026-06-14","","","","","","","",""
"batamat roubaix","https://www.batamat.com/","6","1","30","30","","","0.0039","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"attestation caces","https://www.batamat.com/Batamat/detail_actu/19","6","5","140","140","","0.36","0.02","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"caces permis","https://www.batamat.com/Batamat/detail_actu/19","6","23","3273","3600","812","1.72","0.17","0.2481","39","2026-06-11","","","","","","","",""
"nacelle ciseau 6m","https://www.batamat.com/Batamat/detail_produit/61","5","6","155","140","","0.81","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"bw120","https://www.batamat.com/Batamat/detail_produit/91","5","5","110","110","","","0.0373","","1","2026-06-02","true","false","false","false","false","false","",""
"betonniere location","https://www.batamat.com/Batamat/detail_produit/219","5","29","3385","4400","505","0.35","0.35","0.1492","25","2026-06-15","false","false","true","false","true","false","",""
"mt1840","https://www.batamat.com/assets/pdf/3221.pdf","4","7","140","140","","0.24","0.1","","13","2026-06-10","false","false","true","false","false","false","",""
"meilleur marteau piqueur","https://www.batamat.com/Batamat/detail_actu/28","4","4","70","70","","0.67","1","","20","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"pelles sur pneus","https://www.batamat.com/Batamat/sub_categorie/26","4","16","720","720","10300","1.72","0.31","14.3056","21","2026-06-18","true","false","true","false","false","false","",""
"passer caces","https://www.batamat.com/Batamat/detail_actu/19","3","4","49","590","","2.43","0.5","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/catalogue","3","10","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"chargeuse 800l","https://www.batamat.com/Batamat/detail_produit/31","3","6","70","70","","","0.33","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"passer le permis caces","https://www.batamat.com/Batamat/detail_actu/19","3","3","30","30","","1.1122","0.4416","","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"bw 120","https://www.batamat.com/Batamat/detail_produit/91","3","9","110","110","","","0.0013","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"ecr88","https://www.batamat.com/assets/pdf/3149.pdf","3","4","40","40","","","0.019","","20","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","ecr88d",""
"comment passer le caces 1","https://www.batamat.com/Batamat/detail_actu/19","3","4","40","40","","1.8503","0.4","","12","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"faut il le permis b pour passer le caces","https://www.batamat.com/Batamat/detail_actu/19","3","4","40","40","","0.081","0.067","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"location plaque de roulage","https://www.batamat.com/Batamat/detail_produit/179","2","12","260","260","","2.66","0.36","","15","2026-06-26","false","false","false","false","true","false","",""
"caces à","https://www.batamat.com/Batamat/detail_actu/19","2","10","118","1300","13600","0.89","0.04","115.2542","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle 9t","https://www.batamat.com/Batamat/detail_produit/82","2","6","50","50","","0.3031","0.09","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"caces permis de conduire","https://www.batamat.com/Batamat/detail_actu/19","2","5","40","40","","2.2468","0.2743","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle ciseaux 8m prix","https://www.batamat.com/Batamat/detail_produit/124","2","8","70","70","2","0.97","0.17","0.0286","18","2026-07-09","true","false","false","false","false","false","",""
"prix location nacelle 12m","https://www.batamat.com/Batamat/detail_produit/102","2","8","70","70","2","0.51","0.26","0.0286","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location camion nacelle particulier","https://www.batamat.com/Batamat/detail_produit/106","2","8","70","70","","1.07","0.53","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini chargeuse mustang","https://www.batamat.com/Batamat/detail_produit/28","2","4","30","30","","","0.381","","16","2026-07-25","","","","","","","",""
"compacteur bw120","https://www.batamat.com/Batamat/detail_produit/91","2","4","30","30","","","0.1852","","19","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"comment avoir le caces 1","https://www.batamat.com/Batamat/detail_actu/19","2","4","30","30","","1.25","0.34","","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle 17 tonnes","https://www.batamat.com/Batamat/detail_produit/84","2","4","30","30","","","0.0397","","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseaux electrique","https://www.batamat.com/Batamat/detail_produit/61","2","12","200","210","","0.46","1","","29","2026-06-01","","","","","","","",""
"comment faire une formation caces","https://www.batamat.com/Batamat/detail_actu/19","2","3","20","20","","2","0.39","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"caces ou le passer","https://www.batamat.com/Batamat/detail_actu/19","2","3","20","20","","1.13","0.35","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle ciseaux électrique","https://www.batamat.com/Batamat/detail_produit/61","2","9","70","70","","","0.04","","18","2026-07-11","true","false","false","false","false","false","",""
"nacelle 18m","https://www.batamat.com/Batamat/detail_produit/114","2","9","70","70","","0.62","0.07","","9","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle prix","https://www.batamat.com/Batamat/detail_produit/114","2","29","1000","1600","575","0.46","0.27","0.575","23","2026-06-18","true","false","true","false","false","false","",""
"pelleteuse a pneu","https://www.batamat.com/Batamat/sub_categorie/26","2","23","714","1000","4","0.32","0.5","0.0056","33","2026-06-28","false","false","true","false","false","false","",""
"prix location nacelle ciseaux","https://www.batamat.com/Batamat/detail_produit/61","2","5","30","30","","1.24","0.29","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"plaques de roulage location","https://www.batamat.com/Batamat/detail_produit/179","2","10","70","70","","1.84","1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"salmat location","https://www.batamat.com/","2","16","260","260","136","6.43","0.01","0.5231","18","2026-05-31","true","false","false","false","false","false","",""
"le permis caces","https://www.batamat.com/Batamat/detail_actu/19","2","8","50","50","","3.5","0.2","","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"passer un caces","https://www.batamat.com/Batamat/detail_actu/19","2","22","590","590","9","1.39","0.29","0.0153","10","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location helicoptere beton prix","https://www.batamat.com/Batamat/detail_produit/218","2","2","10","10","","","0","","17","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"chargeuse 1000l","https://www.batamat.com/Batamat/detail_produit/36","2","7","40","40","","2.4351","0.54","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"chargeuse 700l","https://www.batamat.com/Batamat/detail_produit/34","2","7","40","40","","0.0182","0.1584","","7","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"mini pelle 1.5t","https://www.batamat.com/Batamat/detail_produit/57","1","20","320","320","829","0.89","1","2.5906","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle à pneu","https://www.batamat.com/Batamat/sub_categorie/26","1","9","51","720","896","0.66","0.16","17.5686","19","2026-06-26","true","false","true","false","false","false","",""
"cases permis","https://www.batamat.com/Batamat/detail_actu/19","1","6","30","30","39","0.69","0.05","1.3","17","2026-07-27","","","","","","","caces permis",""
"formation permis caces","https://www.batamat.com/Batamat/detail_actu/19","1","5","21","30","","1.39","0.63","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location decoupeuse thermique","https://www.batamat.com/Batamat/detail_produit/128","1","11","90","90","","0.5348","1","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"location camion nacelle tarif","https://www.batamat.com/Batamat/detail_produit/106","1","10","50","50","","0.85","0.22","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"cuve gnr 500 litres","https://www.batamat.com/Batamat/detail_produit/221","1","10","50","50","","0.85","1","","20","OLDER_THAN_2_MONTHS","false","false","true","true","false","false","",""
"mustang chargeuse","https://www.batamat.com/Batamat/detail_produit/28","1","7","30","30","","0.0574","0.6374","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"benne preneuse pour mini pelle","https://www.batamat.com/Batamat/detail_produit/193","1","14","140","140","","0.32","0.96","","7","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"carte caces","https://www.batamat.com/Batamat/detail_actu/19","1","28","590","590","8","2.29","0.02","0.0136","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle ciseaux prix","https://www.batamat.com/Batamat/detail_produit/61","1","7","27","30","","1.24","0.29","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle ciseaux 8m","https://www.batamat.com/Batamat/detail_produit/124","1","30","590","590","458","0.6","1","0.7763","30","2026-07-26","true","false","false","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/129","1","15","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"bw 100","https://www.batamat.com/Batamat/detail_produit/90","1","15","140","140","308","","0.11","2.2","12","OLDER_THAN_2_MONTHS","","","","","","","",""
"21m","https://www.batamat.com/Batamat/detail_produit/110","1","8","30","30","","","0","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle ciseaux location","https://www.batamat.com/Batamat/detail_produit/61","1","8","30","30","","2.1913","0.6565","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseau 8m","https://www.batamat.com/Batamat/detail_produit/124","1","27","480","480","179","1.25","0.81","0.3729","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"location taupe pneumatique","https://www.batamat.com/Batamat/detail_produit/206","1","10","40","40","","1.0644","0.2857","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"plaque de roulage location","https://www.batamat.com/Batamat/detail_produit/179","1","11","70","70","","1.84","1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location nacelle 20m","https://www.batamat.com/Batamat/detail_produit/106","1","11","70","70","","0.69","0.27","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location fourgon nacelle prix","https://www.batamat.com/Batamat/detail_produit/106","1","11","70","70","","1.06","0.26","","33","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location pince de tri","https://www.batamat.com/Batamat/detail_produit/195","1","6","20","20","","0.2818","0.1857","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pelle 800kg","https://www.batamat.com/Batamat/detail_produit/56","1","6","20","20","","0.47","0.35","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"salmat nord","https://www.batamat.com/","1","22","320","320","126","","0","0.3938","17","2026-06-15","true","false","false","false","false","false","",""
"compacteur bomag bw 100","https://www.batamat.com/Batamat/detail_produit/90","1","9","30","30","","0.255","0.3308","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle ciseaux 12m prix","https://www.batamat.com/Batamat/detail_produit/61","1","9","30","30","2","0.51","0.3","0.0667","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"christian matériels merville","https://www.batamat.com/Batamat/contact","1","17","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"mini pelle 1.5 t","https://www.batamat.com/Batamat/detail_produit/57","1","23","320","320","484","0.89","1","1.5125","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle a pneu","https://www.batamat.com/Batamat/sub_categorie/26","1","12","71","1000","974","0.4","0.22","13.7183","21","2026-06-29","false","false","true","false","false","false","",""
"marteau piqueur chantier","https://www.batamat.com/Batamat/detail_actu/28","1","12","70","70","","1.11","1","","26","2026-06-28","true","false","false","false","false","false","",""
"comment avoir le caces","https://www.batamat.com/Batamat/detail_actu/19","1","2","5","50","","1.17","0.52","","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"meilleur marteau piqueur professionnel","https://www.batamat.com/Batamat/detail_actu/28","1","4","10","10","2","0.35","1","0.2","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"tarif location mini pelle 800kg","https://www.batamat.com/Batamat/detail_produit/56","1","4","10","10","","1.0876","0.2967","","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"location compresseur thermique","https://www.batamat.com/Batamat/detail_produit/97","1","10","30","30","","0.2438","1","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"location bétonnière 1000l","https://www.batamat.com/Batamat/detail_produit/219","1","16","110","110","","0.54","0.53","","19","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"nacelles à ciseaux","https://www.batamat.com/Batamat/detail_produit/61","1","25","314","4400","243000","0.57","1","773.8854","26","2026-07-04","","","","","","","",""
"lisseuse electrique","https://www.batamat.com/Batamat/detail_produit/218","1","22","260","260","5","0.39","1","0.0192","13","2026-06-15","false","false","true","false","false","false","",""
"pelle sur pneus","https://www.batamat.com/Batamat/sub_categorie/26","1","13","71","720","60200","2.27","0.2","847.8873","21","2026-06-16","false","false","true","false","false","false","",""
"location nacelle lille","https://www.batamat.com/Batamat/detail_produit/102","1","11","50","50","","0.45","0.4","","16","2026-07-26","true","false","false","false","true","false","",""
"location pelle 14t","https://www.batamat.com/Batamat/detail_produit/83","1","8","20","20","","0.86","0.3","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pince de tri","https://www.batamat.com/Batamat/detail_produit/195","1","27","320","320","2580","2.11","1","8.0625","26","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/160","1","20","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"prix location camion nacelle 20 m","https://www.batamat.com/Batamat/detail_produit/106","1","5","10","10","1","0.35","0.18","0.1","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix location mini pelle 800 kg","https://www.batamat.com/Batamat/detail_produit/56","1","5","10","10","","1.7436","0.1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle valenciennes","https://www.batamat.com/Batamat/detail_produit/129","1","9","20","20","","1.56","0.46","","17","2026-07-26","true","false","false","false","true","false","",""
"nacelle location prix","https://www.batamat.com/Batamat/detail_produit/114","1","22","200","2400","","0.53","0.3","","29","2026-07-05","true","false","true","false","false","false","",""
"philmat seclin","https://www.batamat.com/","1","19","110","110","","","","","1","2026-06-06","true","false","false","false","false","false","",""
"location téléscopique","https://www.batamat.com/Batamat/detail_produit/62","1","38","1000","1000","417","1.35","0.28","0.417","27","2026-06-28","","","","","","","",""
"ponceuse surfaceuse","https://www.batamat.com/Batamat/detail_produit/196","1","21","170","170","","0.44","1","","35","2026-06-05","true","false","false","false","false","false","",""
"mini pelle 800 kgs","https://www.batamat.com/Batamat/detail_produit/56","1","13","50","50","2","0.35","1","0.04","21","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"location nacelle à ciseaux","https://www.batamat.com/Batamat/detail_produit/61","1","6","10","10","","1.4497","0.6786","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle lille","https://www.batamat.com/Batamat/detail_produit/76","1","6","10","10","","1.31","0.19","","1","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"location découpeuse thermique","https://www.batamat.com/Batamat/detail_produit/128","1","15","64","70","","0.53","0.93","","23","OLDER_THAN_2_MONTHS","false","false","true","true","false","false","",""
"météo agricole vimy","https://www.batamat.com/","1","26","210","210","","","0","","51","2026-06-07","true","false","false","false","true","false","",""
"nacelle a bras","https://www.batamat.com/Batamat/detail_produit/116","1","19","90","90","","3.8","0.3","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location btp","https://www.batamat.com/","1","37","842","1300","13500","1.65","0.03","16.0333","27","2026-06-20","false","false","false","false","true","false","",""
"plaques de roulage","https://www.batamat.com/Batamat/detail_produit/179","1","44","1900","1900","863","2.08","1","0.4542","25","2026-06-18","","","","","","","",""
"pelle à pneu 6 tonnes","https://www.batamat.com/Batamat/sub_categorie/26","1","14","50","50","","","0.75","","23","2026-07-25","true","false","true","false","false","false","",""
"mini pelle à chenille","https://www.batamat.com/Batamat/sub_categorie/22","1","14","50","50","","1.07","1","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"compacteur monocylindre","https://www.batamat.com/Batamat/detail_produit/93","1","14","50","50","","0.02","0.1","","32","OLDER_THAN_2_MONTHS","false","false","false","true","false","false","",""
"pied de mouton compacteur","https://www.batamat.com/Batamat/detail_produit/94","1","27","200","170","","","0.59","","13","2026-06-10","","","","","","","",""
"surfaceuse","https://www.batamat.com/Batamat/detail_produit/196","1","37","800","880","2290","0.56","1","2.8625","30","2026-06-17","true","false","true","false","false","false","",""
"location brh mini pelle","https://www.batamat.com/Batamat/detail_produit/88","1","17","70","70","","0.44","0.2","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle a ciseau","https://www.batamat.com/Batamat/detail_produit/61","1","17","70","70","","0.1263","1","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"tarif location nacelle 15m","https://www.batamat.com/Batamat/detail_produit/99","1","17","70","70","","1.2","0.25","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"plaque de roulage 5t","https://www.batamat.com/Batamat/detail_produit/179","1","11","30","30","","2.419","1","","10","2026-07-22","","","","","","","",""
"nacelle ciseau location","https://www.batamat.com/Batamat/detail_produit/61","1","11","30","30","","2.1913","0.6565","","31","2026-07-09","true","false","false","false","false","false","",""
"location nacelle arras","https://www.batamat.com/Batamat/detail_produit/230","1","11","30","30","","1.694","0.312","","1","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"nacelle prix location","https://www.batamat.com/Batamat/detail_produit/114","1","47","2000","2400","455","0.53","0.3","0.2275","30","2026-07-02","true","false","true","false","false","false","",""
"location de marteau piqueur","https://www.batamat.com/Batamat/detail_produit/209","1","20","90","90","","","0.95","","27","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location micro pelle 800kg","https://www.batamat.com/Batamat/detail_produit/56","1","7","10","10","6","0.61","0.35","0.6","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location camion nacelle 10m","https://www.batamat.com/Batamat/detail_produit/104","1","13","40","40","","0.85","0.26","","8","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"la courte echelle bethune","https://www.batamat.com/","1","22","140","140","","","","","8","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"nacelle articulee electrique","https://www.batamat.com/Batamat/detail_produit/100","1","22","140","140","","1.79","0.84","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle brh","https://www.batamat.com/Batamat/detail_produit/88","1","18","70","70","","0.44","0.2","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"chariot telescopique 6m","https://www.batamat.com/Batamat/detail_produit/62","1","18","70","70","","1.46","1","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/60","1","23","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"passer son caces","https://www.batamat.com/Batamat/detail_actu/19","1","27","170","170","","1.41","0.33","","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"a mat","https://www.batamat.com/Batamat/sub_categorie/15","1","19","70","70","","","0","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"location materiel lille","https://www.batamat.com/","1","12","30","30","10","0.2923","0.06","0.3333","13","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"quel marteau piqueur choisir","https://www.batamat.com/Batamat/detail_actu/28","1","12","30","30","","0.2207","1","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"location groupe electrogene 20 kva","https://www.batamat.com/Batamat/detail_produit/176","1","14","40","40","","2.1584","1","","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix camion nacelle 20m","https://www.batamat.com/Batamat/detail_produit/106","1","14","40","40","","0.64","0.22","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle a pneus volvo","https://www.batamat.com/Batamat/sub_categorie/26","1","28","170","170","","0.53","0.3","","1","2026-06-12","false","false","true","false","false","false","",""
"prix camion nacelle location","https://www.batamat.com/Batamat/detail_produit/104","1","8","10","10","","0.67","0.21","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"les permis caces","https://www.batamat.com/Batamat/detail_actu/19","1","16","50","50","","3.5","0.2","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle a pneu volvo","https://www.batamat.com/Batamat/sub_categorie/26","1","29","170","170","","0.74","0.38","","28","2026-06-06","false","false","true","false","false","false","",""
"location dumper prix","https://www.batamat.com/Batamat/detail_produit/52","1","29","170","170","10","0.45","0.7","0.0588","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/168","1","25","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"location brh","https://www.batamat.com/Batamat/detail_produit/88","1","25","140","140","","0.92","0.17","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"pince pelle","https://www.batamat.com/Batamat/detail_produit/195","1","20","70","70","","3","1","","29","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"pieces detachees pour compresseur atlas copco pdf","https://www.batamat.com/assets/pdf/3836.pdf","1","20","70","70","","2.042","0.5946","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"camion nacelle 20m","https://www.batamat.com/Batamat/detail_produit/106","1","30","170","170","","0.15","0.11","","27","2026-06-16","true","false","false","false","false","false","",""
"bw100","https://www.batamat.com/Batamat/detail_produit/90","1","30","170","170","","0.18","0.19","","20","2026-06-02","","","","","","","",""
"pelle avec pince","https://www.batamat.com/Batamat/detail_produit/195","1","17","50","50","","","0.59","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/83","1","27","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"location marteau demolition","https://www.batamat.com/Batamat/detail_produit/209","1","9","10","10","","","1","","24","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/59","1","28","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"comment savoir si on a le caces","https://www.batamat.com/Batamat/detail_actu/19","1","11","20","20","","","0.04","","7","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location micro-pelle prix","https://www.batamat.com/Batamat/detail_produit/56","1","11","20","20","3","0.64","0.21","0.15","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 1.5t fiche technique","https://www.batamat.com/Batamat/detail_produit/57","1","11","20","20","","","0.0476","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 700 kg","https://www.batamat.com/Batamat/detail_produit/56","1","16","40","40","","0.8","1","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"pince enrochement mini pelle","https://www.batamat.com/Batamat/detail_produit/195","1","16","40","40","","1.22","1","","32","OLDER_THAN_2_MONTHS","","","","","","","",""
"location marteau piqueur électrique","https://www.batamat.com/Batamat/detail_produit/209","1","25","110","110","","","1","","32","2026-05-29","true","false","true","false","false","false","",""
"location nacelle 12m prix","https://www.batamat.com/Batamat/detail_produit/102","1","10","10","10","2","0.84","0.45","0.2","22","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location mini pelle lille","https://www.batamat.com/Batamat/detail_produit/56","1","10","10","10","","1.31","0.19","","1","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"haut de france materiaux","https://www.batamat.com/","1","19","50","50","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"louer betonniere","https://www.batamat.com/Batamat/detail_produit/219","1","24","100","110","","0.49","0.77","","7","2026-06-04","true","false","true","false","false","false","",""
"nacelle ciseaux 6m","https://www.batamat.com/Batamat/detail_produit/61","1","6","5","170","","0.82","1","","17","2026-07-27","true","false","false","false","false","false","",""
"location nacelle ciseau prix","https://www.batamat.com/Batamat/detail_produit/61","1","6","5","30","2","1.24","0.29","0.4","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","location nacelle ciseaux prix",""
"location petite mini pelle","https://www.batamat.com/Batamat/detail_produit/56","1","6","5","30","5","0.55","0.5","1","18","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"bomag bw100","https://www.batamat.com/Batamat/detail_produit/90","1","17","40","40","","","0.06","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"fiche technique compresseur atlas copco xas 30","https://www.batamat.com/assets/pdf/3836.pdf","1","12","20","20","","0.3062","0.0173","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location scie thermique","https://www.batamat.com/Batamat/detail_produit/128","1","12","20","20","","","1","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle avec brh","https://www.batamat.com/Batamat/detail_produit/88","1","20","50","50","","0.87","0.23","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"chariot rotatif 21m","https://www.batamat.com/Batamat/detail_produit/110","1","20","50","50","","0.8775","0.4156","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"manitou télescopique 18m","https://www.batamat.com/Batamat/detail_produit/109","1","20","50","50","","0.96","0.53","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle yanmar 800 kg prix","https://www.batamat.com/Batamat/detail_produit/56","1","20","50","50","","0.46","0.58","","35","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseau 12m","https://www.batamat.com/Batamat/detail_produit/121","1","35","390","390","59","1.75","0.77","0.1513","29","2026-06-06","true","false","false","false","false","false","",""
