sous-domaine,url,top_3_mcs,trafic,mcs,positionnés,perdus,total_top_3,total_top_10,total_top_50,prem._vue_serp,der._vue_serp
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/choix-de-lhuile-hydraulique-pour-chariot-elevateur/","","1","5","4","1","0","0","4","2025-12-14","2026-04-14"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/caces-chariot-elevateur-guide-complet/","","1","17","5","12","0","0","3","2025-11-16","2026-04-12"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/nacelles-elevatrices/","","1","26","4","22","0","0","3","2025-07-02","2026-03-17"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/entreprise/itm-logistique-alimentaire-international/","","1","1","1","0","0","0","1","2026-05-16","2026-05-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/prix-des-transpalettes-guide-des-tarifs-complet/","","1","20","5","15","0","0","8","2025-07-03","2026-01-28"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/quel-est-le-meilleur-chariot-elevateur/","","1","24","1","23","0","0","5","2025-07-07","2026-03-11"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/categorie/chariot-elevateur-electrique/","","1","39","9","30","0","0","7","2025-07-04","2026-03-12"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/entreprise/assurance-decennale-et-dommage-ouvrage/","","1","29","0","29","0","0","9","2025-08-20","2026-03-09"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/transpalette-ou-chariot-elevateur-lequel-choisir","","1","2","0","2","0","0","2","2025-07-07","2025-07-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/manutention/chariots-manuels-diables/les-diables-pour-votre-entrepot/","","1","5","5","0","0","0","3","2026-01-02","2026-05-09"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-electrique-palan-220-v-avec-un-cable-de-15-m","","1","5","1","4","0","0","4","2025-07-07","2025-12-22"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/securite-incendie-precautions-transpalettes-electriques/","","1","9","0","9","0","0","4","2025-07-01","2026-01-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/manutention/chariot-elevateur/","","1","46","10","36","0","0","11","2025-07-02","2026-03-19"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/pont-roulant/guide-sur-la-securite-des-ponts-roulants/","","1","10","3","7","0","0","4","2025-07-04","2026-03-20"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/5-meilleures-marques-de-transpalettes-comparatif-detaille/","","1","7","4","3","0","0","1","2025-09-04","2026-02-17"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/levage-magnetique-aimants-de-levage-200-kg","","1","6","0","6","0","0","3","2025-07-05","2025-08-21"
